Language,Page Position,2020 Census,brochure,cell phone,census questionnaire,community,confidential,congressional seat,education,emergency services,federal funding,guide,household,language,language guide (guide to complete the 2020 Census),person experiencing homelessness,privacy,protected by law,questionnaire,submitting your questionnaire,Title 13,U.S. Census Bureau,Web site,U.S. Census Bureau Toll-Free Phone Number,Infographic Explainer,Language Name (in Native Script),Link to Google Drive
Albanian,Bottom,Censusi2020,broshurë,celular,pyetësoriicensusit,komunitet,konfidencial,vendinëkongres,arsim,shërbimeteurgjencës,fondifederal,udhëzues,banorëteshtëpisë,gjuhë,udhëzuespërgjuhën(udhëzuesiiplotëiCensusit2020përgjuhën),personipastrehë,privatësi,mbrojturmeligj,pyetësor,dorëzimiipyetësorittuaj,Titulli13,ByrojaAmerikaneeCensusit,Faqjaeinternetit,,,Shqip,https://drive.google.com/drive/folders/10woNS2hJrET7W_ewFCc3rUPL9xaeGVI0?usp=sharing
American Sign Langauge,Bottom,,,,,,,,,,,,,,,,,,,,,,,844-467-2020,,American Sign Langauge,https://drive.google.com/drive/folders/1y9MDnB4LGcpIZF7vvXHmK9-Kxr5JEnnw?usp=sharing
Amharic,Bottom,2020 ህዝብ ቆጠራ,ብሮሸር,ሞባይል ስልክ,የህዝብ ቆጠራ መጠይቅ,ማህበረሰብ,ሚስጥራዊ,የኮንግረስ መቀመጫ,ትምህርት,የድንገተኛ ጊዜ አገልግሎት,ፌደራል ፈንዲንግ,መመሪያ,ቤተሰብ,ቋንቋ,የቋንቋ መመሪያ (የ 2020 የህዝብ ቆጠራን ለማጠናቀቅ የተዘጋጀ መመሪያ),ቤት አልባ የሆነ ሰው,ሚስጥራዊነት,በህግ ጥበቃ የሚደረግለት,መጠይቅ,መጠይቅዎትን መመለስ,አንቀጽ 13,የአሜሪካ ህዝብ ቆጠራ ቢሮ,ድረገጽ,,,አማርኛ,https://drive.google.com/drive/folders/1LCUH0s4AwKbx9MQ_6qP8Qgu0scLENhUG?usp=sharing
Arabic,Top,اﻟﺘﻌﺪاد اﻟﺴﻜﺎﻧﻲ ﻟﺴﻨﺔ 2020,ﻧﺸﺮة,ھﺎﺗﻒ ﺧﻠﻮي,اﺳﺘﺒﯿﺎن اﻟﺘﻌﺪاد اﻟﺴﻜﺎﻧﻲ,ﻣﺠﺘﻤﻊ,ﺳﺮ ّي,ﻣﻘﻌﺪ ﺑﺎﻟﻜﻮﻧﻐﺮس,اﻟﺘﻌﻠﯿﻢ,ﺧﺪﻣﺎت اﻟﻄﻮارئ,اﻷﻣﻮال اﻟﻔﯿﺪراﻟﯿﺔ,دﻟﯿﻞ,اﻟﺒﯿﺖ,اﻟﻠﻐﺔ,دﻟﯿﻞ اﻟﻠﻐﺔ )دﻟﯿﻞ ﻻﺳﺘﻜﻤﺎل اﻟﺘﻌﺪاد اﻟﺴﻜﺎﻧﻲ ﻟﺴﻨﺔ (2020,ﺷﺨﺺ ﯾﻌﺎﻧﻲ ﻣﻦ اﻟﺘﺸﺮد,اﻟﺨﺼﻮﺻﯿﺔ,ﻣﺤﻤﻲ ﺑﻤﻮﺟﺐ اﻟﻘﺎﻧﻮن,اﺳﺘﺒﯿﺎن,ﺗﻘﺪﯾﻢ اﻻﺳﺘﺒﯿﺎن اﻟﺨﺎص ﺑﻚ,اﻟﻔﺼﻞ 13,ﻣﻜﺘﺐ اﻹﺣﺼﺎء اﻷﻣﺮﯾﻜﻲ,ﻣﻮﻗﻊ اﻹﻧﺘﺮﻧﺖ,844-416-2020,"كن ضمن تعداد 2020
عندما تستجيب ، فإنك تضمن التمويل لمجتمعك والتعليم والطرق والرعاية الصحية والخدمات الاجتماعية والإسكان.

", العربية ,https://drive.google.com/drive/folders/1WZWHo_PHcF5ttFAcysfk8ccB5nmFZn9Q?usp=sharing
Armenian,Bottom,2020 Մարդահամար,բրոշյուր,բջջային հեռախոս,մարդահամարի հարցաթերթիկ,համայնք,գաղտնիություն,Կոնգրես,կրթություն,շտապ օգնության ծառայություններ,դաշնային ֆինանսավորում,ուղեցույց,տան անդամներ,լեզու,լեզվի ուղեցույց (2020 Մարդահամարը լրացնելու ուղեցույց),անօթևան անձ,գաղտնիություն,օրենքով պաշտպանված,հարցաթերթիկ,ձեր հարցաթերթիկը ներկայացնելը,Հոդված 13,ԱՄՆ Մարդահամարի բյուրո,Կայք,,,Հայերեն,https://drive.google.com/drive/folders/1_Cm-dTiabb0EBSL9e8WH8GerkdvACFz8?usp=sharing
Bengali,Bottom,2020জনগণনা,ই�াহার Priority Africa Network,েসলেফান,জনগণনাপৰ্�াবলী,স�দায়,েগাপন,কংেগৰ্েসরআসন,িশক্ষা,জরুরীপিরেষবা,েফডােরলতহিবল,িদকিনেদর্শনা,পিরবার,ভাষা,ভাষািদকিনেদর্শনা(2020এরজনগণনাস�ূণর্করারিনেদর্িশকা),গৃহহীনতারস�ুখীনবয্ি�,েগাপনীয়তা,আইেনরদ্বারারিক্ষত,পৰ্�াবলী,আপনারপৰ্�াবলীজমােদওয়া ,স্বত্ব13,ইউ.এস.জনগণনাবুয্েরা,ওেয়বসাইট,,, বাংলা,https://drive.google.com/drive/folders/1jW3JoqP0Twju3PnVK0OjdiRPBAww6VV4?usp=sharing
Bhutanese,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,རྫོང་ཁ་,https://drive.google.com/open?id=1Gh_bsmKM3oNSrh90hvP2DIWWWGI7mwey
Bosnian,Bottom,Popisstanovništva2020.godine,brošura,mobilnitelefon,upitnikza popisstanovništva,zajednica,povjerljivo,kongresni zastupnik,obrazovanje,hitnaslužba,saveznofinansiranje,vodič,domaćinstvo,jezik,jezičkivodič(vodičza popunjavanjepopisa stanovništva2020. godine),osobasuočena sbeskućništvom,privatnost,zaštićeno zakonom,upitnik,slanjeupitnika,Poglavlje13,Američki biro za popisstanovništva,Web lokacija,,,Bosanski,https://drive.google.com/drive/folders/1-sY5BkALkU_w8xrPEXSYkJjlCDHsgK_C?usp=sharing
Bulgarian,Bottom,Преброяваненанаселението 2020г.,брошура,мобилентелефон,преброителнакарта,общност,поверителни,мястовКонгреса,образование,услугизаспешнапомощ,федералнофинансиране,насоки,домакинство,език,"езиковнаръчник(указаниязапопълваненавъпросникаотносно
 преброяванена населението2020г.)",бездомнолице,неприкосновеностналичнияживот,защитенотзакона,анкетнакарта,внасянена вашата анкетна карта,глава13,Бюроза преброяваненанаселениетона САЩ,уебсайт,,,български език,https://drive.google.com/drive/folders/1nMbKfPbDc4RDuiXmEVcatNijrDwu8-DH?usp=sharing
